,fuzzy_cluster_0,fuzzy_cluster_1,fuzzy_cluster_2,fuzzy_cluster_3,fuzzy_cluster_4,fuzzy_cluster_5,fuzzy_cluster_6,fuzzy_cluster_7,fuzzy_cluster_8,fuzzy_cluster_9,fuzzy_cluster_10,fuzzy_cluster_11,fuzzy_cluster_12,fuzzy_cluster_13,fuzzy_cluster_14,fuzzy_cluster_15,fuzzy_cluster_16,fuzzy_cluster_17,fuzzy_cluster_18,fuzzy_cluster_19,fuzzy_cluster_20,fuzzy_cluster_21,fuzzy_cluster_22,fuzzy_cluster_23,fuzzy_cluster_24,fuzzy_cluster_25,fuzzy_cluster_26,fuzzy_cluster_27,fuzzy_cluster_28,fuzzy_cluster_29,dominant_cluster,dominant_score
Dublin,0.03330632297275817,0.033372358990375564,0.033310282062620294,0.03335765896024747,0.03331788982732726,0.03336032371868265,0.03329619887844799,0.03335362746388845,0.03324016920334246,0.03331953232042067,0.03336471420813075,0.03332289139590093,0.03336408522852215,0.033358438082533005,0.03327314612989825,0.033348463873762356,0.033347139285702765,0.03329295566245671,0.03335917686565373,0.033295367034520934,0.03337069515051722,0.03337221185339724,0.03331389694236076,0.033338228482741004,0.03336024167130281,0.03328500070313949,0.03336446101869376,0.033345291654471344,0.03334792084742269,0.03334130951076101,1,0.0334
Essaouira,0.03295199743225332,0.03388101453607555,0.03301490080325051,0.03375679110213822,0.0330381480831047,0.0336380333161481,0.03286134977046739,0.03358414465883076,0.0326052367687391,0.03324537244105223,0.033864219245855906,0.033062016918369505,0.03379762081382978,0.03339933680371172,0.03282077968227349,0.03346697760708821,0.0333149128052312,0.03295710063681356,0.03355997658077368,0.032962565120414525,0.03370376770231372,0.033789087664968985,0.03301131247649062,0.03316753179159799,0.0336227170794074,0.03281954501797286,0.03411893592124405,0.03332348682581322,0.033389489903213374,0.0332716304905563,26,0.0341
Faro,0.03291109874857008,0.03394023091739235,0.032980558628158504,0.03379556130018548,0.03301045006105598,0.03367450573973597,0.03280903244447433,0.033613710744429495,0.03249983993196615,0.033229151640127644,0.033913803372392644,0.0330401650889112,0.03384403563394391,0.03342210735128237,0.03274952952524484,0.033486208857036764,0.03332218888651456,0.03290622956735696,0.03359180567533046,0.03291596850281531,0.03374965605569687,0.033843210749211684,0.03297937265147634,0.033163270710807026,0.03365850928293596,0.032756455034669535,0.03418285696127683,0.03333154387737152,0.033405104539182544,0.033273837520446714,26,0.0342
Fuerteventura,0.03307682461274477,0.03370034748794364,0.033119710371202364,0.03361779002721382,0.033136398343917225,0.03353773662813107,0.033015864202709494,0.03350088723310316,0.03284036619626339,0.033273826862926244,0.03369116601376174,0.03315113343941207,0.03364607210885021,0.03337889703820237,0.03298719573516602,0.03342253364726601,0.03332366662515694,0.033079719676345175,0.033485909472205484,0.0330813732212306,0.03358463898895438,0.03363963022009973,0.03311769523973486,0.03322245017019887,0.033528500561274516,0.03298829165827699,0.03385895232412136,0.03332834113497864,0.03337037412438784,0.03329370663422106,26,0.0339
Granada,0.033414901641436595,0.03320470203242248,0.03340568432504603,0.03323930733798949,0.03340348775914908,0.03326949308952225,0.03343038732625468,0.03328210760314462,0.033460311360293274,0.03335960946482826,0.03321283182791058,0.033396211564115104,0.0332305230747981,0.033328653637287695,0.03343438919800166,0.033310933761024515,0.03334954424602055,0.033413439630607,0.03329019585514896,0.0334087703598412,0.03325690607677877,0.03323114673989522,0.03340692997830394,0.033376848888814856,0.03327575763030746,0.03343835420824135,0.033135067101163714,0.033346769967881676,0.03332840243277589,0.03335833188099483,8,0.0335
Innsbruck,0.033100162073843815,0.03366779991902766,0.03313865127502743,0.033588225079535385,0.03315758264792846,0.033522771932675756,0.033042166507791126,0.033487112041603824,0.03285903350574848,0.03327375334070399,0.033654387095061127,0.03317329372233239,0.03361614173892519,0.03338818309592482,0.03300313056074992,0.03341790211137183,0.03333474834820888,0.03309366067898214,0.03347850983884151,0.033096520275572194,0.033569489520872964,0.03361662552011497,0.03313932794960444,0.03324323147251048,0.03351477345721527,0.03301188979684961,0.033795241964037256,0.03333698227753328,0.033373749882983667,0.033304952368422104,26,0.0338
Krakow,0.033890886202693093,0.03253852473591854,0.03379666538193378,0.0327230985468318,0.03375597012748266,0.032882528500852284,0.03402752779234313,0.03296137223874722,0.03444723515087193,0.03346675271775378,0.03257000180331643,0.033717904910605334,0.03266127116748828,0.03321224849421548,0.034108319644238654,0.03312896140343937,0.033340399621735385,0.033897799580340914,0.03299025607010237,0.033886653913458374,0.03278285556558968,0.03266320087326301,0.03379807761699816,0.03355427522361847,0.032902520817092086,0.03409650909768337,0.03222542882712018,0.03333004119606537,0.0332358807368002,0.03340683204140047,8,0.0344
Kuala_Lumpur,0.03335667212481091,0.033293052869166895,0.03335535163226454,0.03330812937444129,0.033353102244226586,0.03331411383519093,0.03336035394556992,0.03331950854702576,0.033374545129687974,0.03334592756474363,0.03329821324217336,0.033350320856618564,0.03330273920181431,0.033328547405982234,0.03336703237003337,0.03332714690886949,0.033337985021997696,0.03336024464080856,0.033319403665073,0.03335839271826822,0.03330855330173342,0.0333007285050936,0.03335443364155836,0.03334307873996146,0.03331567068507208,0.03336483952958702,0.033275163762200646,0.03333659018990522,0.03333092910074433,0.03333922924537675,8,0.0334
Las_Palmas,0.033200101199129896,0.03351083376306964,0.03322700559388556,0.03347764343888173,0.03323664099618231,0.03344077879851066,0.0331647160057433,0.0334247095167593,0.03305548644868263,0.033313389438246695,0.033510036386104614,0.03324287097466296,0.03349074853624385,0.03336366344617782,0.033149792500960784,0.033387384432330594,0.03333678777078869,0.03320438543618515,0.0334172804183705,0.03320369147591465,0.033462099329542944,0.033485544811514584,0.03322531899407649,0.033282101608541476,0.033438389745531504,0.03314999322424767,0.03357475379990849,0.03334033811117396,0.03336076915695864,0.03332274464167273,26,0.0336
Lima,0.033689689300354896,0.03281996221626584,0.03363110634666667,0.03294268150068004,0.03360279614998408,0.03304627472383606,0.03377509475614794,0.03310029367092403,0.034043344733902546,0.03342655746699237,0.032839454029701905,0.03358052937724073,0.03289986220205664,0.033255671667521164,0.03383170857112005,0.03320776226145788,0.033336188903273486,0.03369800700424644,0.03311514465437907,0.033694916743443985,0.03297519059809069,0.032900736774579956,0.03363040433019831,0.03347572240933256,0.03305816353253111,0.03381839030636854,0.032614896399637175,0.03333227030042625,0.0332762320269313,0.03338094704170809,8,0.034
